METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;0;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;1;2;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;1;2;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;0;1;3;0;8;132;30;22,727272727272727;1,0;0;1;0;0,0;0,0
0;0;0;1;3;0;8;132;30;22,727272727272727;1,0;3;131;0;0,0;0,0
0;0;2;0;1;1;4;5;0;0,0;0,0;3;5;0;0,0;0,0
0;0;2;0;2;1;4;100;0;0,0;0,0;3;100;0;0,0;0,0
0;0;2;0;3;0;2;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;2;0;3;0;8;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;1;2;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;2;0;4;1;4;318;0;0,0;0,0;3;318;0;0,0;0,0
0;0;2;1;2;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;1;2;0;4;11;0;0,0;0,0;3;11;0;0,0;0,0
0;0;2;1;2;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;2;1;3;0;8;1733;34;1,9619157530294287;1,0;0;108;0;0,0;0,0
0;0;2;1;3;0;8;1733;34;1,9619157530294287;1,0;3;1625;0;0,0;0,0
0;2;0;0;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;0;0;3;1;2;265;0;0,0;0,0;3;265;0;0,0;0,0
0;2;0;0;3;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;0;3;1;8;27;0;0,0;0,0;3;27;0;0,0;0,0
0;2;0;0;4;0;1;18;0;0,0;0,0;3;18;0;0,0;0,0
0;2;0;0;4;1;1;465;0;0,0;0,0;3;465;0;0,0;0,0
0;2;0;0;4;1;4;1456;0;0,0;0,0;3;1456;0;0,0;0,0
0;2;0;0;4;1;8;238;0;0,0;0,0;3;238;0;0,0;0,0
0;2;0;0;5;1;2;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;0;5;1;5;4;0;0,0;0,0;3;4;0;0,0;0,0
0;2;0;1;1;0;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;1;1;0;4;33;0;0,0;0,0;3;33;0;0,0;0,0
0;2;0;1;1;1;4;114;0;0,0;0,0;3;114;0;0,0;0,0
0;2;0;1;2;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;0;1;2;0;4;172;0;0,0;0,0;3;172;0;0,0;0,0
