METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;0;1;1;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;0;2;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;0;0;3;0;8;1969;20;1,015744032503809;1,0;3;1969;0;0,0;0,0
0;0;0;0;3;1;2;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;0;4;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;0;4;0;4;46;1;2,1739130434782608;1,0;3;46;0;0,0;0,0
0;0;0;0;4;1;1;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;0;0;4;1;4;54;0;0,0;0,0;3;54;0;0,0;0,0
0;0;0;0;5;1;5;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;0;1;1;0;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;0;0;1;2;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;0;1;2;1;4;144;0;0,0;0,0;3;144;0;0,0;0,0
0;0;0;1;3;0;8;154;28;18,181818181818183;1,0;0;4;0;0,0;0,0
0;0;0;1;3;0;8;154;28;18,181818181818183;1,0;3;150;0;0,0;0,0
0;0;0;1;4;0;1;36;0;0,0;0,0;3;36;0;0,0;0,0
0;0;0;1;4;0;4;214;7;3,2710280373831773;1,0;3;214;0;0,0;0,0
0;0;4;0;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;4;0;4;1;4;30;0;0,0;0,0;3;30;0;0,0;0,0
0;0;4;1;1;0;8;1;1;100,0;0;3;1;0;0,0;0,0
0;0;4;1;3;0;2;3;3;100,0;0;3;3;0;0,0;0,0
0;0;4;1;3;0;8;33;16;48,484848484848484;1,0;3;33;0;0,0;0,0
0;0;4;1;4;0;1;15;14;93,333333333333329;0;3;15;0;0,0;0,0
0;0;4;1;4;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;4;3;4;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;5;0;3;1;2;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;5;0;4;1;1;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;5;0;4;1;4;35;0;0,0;0,0;3;35;0;0,0;0,0
0;0;5;0;4;1;8;5;0;0,0;0,0;3;5;0;0,0;0,0
0;0;5;1;1;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;5;1;1;0;8;3;3;100,0;0;3;3;0;0,0;0,0
0;0;5;1;2;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;5;1;3;0;8;8;0;0,0;0,0;3;8;0;0,0;0,0
0;2;2;0;2;1;4;21079;0;0,0;0,0;0;5;0;0,0;0,0
0;2;2;0;3;0;2;155;0;0,0;0,0;3;155;0;0,0;0,0
0;2;2;0;3;0;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;2;2;0;3;0;8;54;7;12,962962962962962;1,0;3;54;0;0,0;0,0
0;2;2;0;3;1;2;11429;0;0,0;0,0;0;41;0;0,0;0,0
0;2;2;0;3;1;2;11429;0;0,0;0,0;3;11388;0;0,0;0,0
0;2;2;0;3;1;4;369;0;0,0;0,0;3;369;0;0,0;0,0
0;2;2;0;3;1;8;834;0;0,0;0,0;3;834;0;0,0;0,0
0;2;2;0;4;0;1;738;0;0,0;0,0;3;738;0;0,0;0,0
0;2;2;0;4;0;2;284;0;0,0;0,0;3;284;0;0,0;0,0
0;2;2;0;4;0;4;2864;140;4,8882681564245809;1,0;3;2864;0;0,0;0,0
0;2;2;0;4;0;8;192;0;0,0;0,0;3;192;0;0,0;0,0
0;2;2;0;4;1;1;30139;1;3,3179601181193806E-3;1,0;3;30139;0;0,0;0,0
0;2;2;0;4;1;2;123;0;0,0;0,0;3;123;0;0,0;0,0
0;2;2;0;4;1;4;199133;0;0,0;0,0;0;9;0;0,0;0,0
0;2;2;0;4;1;4;199133;0;0,0;0,0;3;199124;0;0,0;0,0
0;2;3;1;4;0;1;260;0;0,0;0,0;3;259;0;0,0;0,0
0;2;3;1;4;0;2;7;0;0,0;0,0;3;7;0;0,0;0,0
0;2;3;1;4;0;4;156;0;0,0;0,0;3;156;0;0,0;0,0
0;2;3;1;4;0;8;113;0;0,0;0,0;3;113;0;0,0;0,0
0;2;3;1;4;1;1;4;0;0,0;0,0;3;4;0;0,0;0,0
0;2;3;1;4;1;2;5;0;0,0;0,0;3;5;0;0,0;0,0
0;2;3;1;4;1;4;21;0;0,0;0,0;3;21;0;0,0;0,0
0;2;3;1;4;1;8;3;0;0,0;0,0;3;3;0;0,0;0,0
0;2;3;1;5;0;1;6;0;0,0;0,0;3;6;0;0,0;0,0
0;2;3;1;5;0;2;13;0;0,0;0,0;3;13;0;0,0;0,0
0;2;3;1;5;0;8;56;0;0,0;0,0;3;56;0;0,0;0,0
0;2;3;1;5;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;1;5;1;2;6;0;0,0;0,0;3;6;0;0,0;0,0
0;2;3;1;5;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;1;5;1;5;8;0;0,0;0,0;3;8;0;0,0;0,0
0;2;3;2;1;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;2;0;3;1;8;18;0;0,0;0,0;3;18;0;0,0;0,0
0;3;2;0;4;0;1;482;0;0,0;0,0;3;482;0;0,0;0,0
0;3;2;0;4;0;2;53;0;0,0;0,0;3;53;0;0,0;0,0
0;3;2;0;4;0;4;1409;0;0,0;0,0;3;1409;0;0,0;0,0
0;3;2;0;4;0;8;216;0;0,0;0,0;3;216;0;0,0;0,0
0;3;2;0;4;1;1;21767;0;0,0;0,0;3;21767;0;0,0;0,0
0;3;2;0;4;1;2;6;0;0,0;0,0;3;6;0;0,0;0,0
0;3;2;0;4;1;4;143954;0;0,0;0,0;0;24;0;0,0;0,0
0;3;2;0;4;1;4;143954;0;0,0;0,0;3;143930;0;0,0;0,0
0;3;2;0;4;1;8;12469;0;0,0;0,0;3;12469;0;0,0;0,0
0;3;2;0;5;1;4;7;0;0,0;0,0;3;7;0;0,0;0,0
0;3;2;1;1;0;1;92;0;0,0;0,0;3;92;0;0,0;0,0
0;3;2;1;1;0;4;1972;509;25,811359026369168;1,0;3;1972;0;0,0;0,0
0;3;2;1;1;0;8;112;0;0,0;0,0;3;112;0;0,0;0,0
0;3;2;1;1;1;1;14;0;0,0;0,0;3;14;0;0,0;0,0
0;3;2;1;1;1;4;429;168;39,16083916083916;1,0;3;429;0;0,0;0,0
0;3;3;2;1;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;2;2;0;4;9;0;0,0;0,0;3;9;0;0,0;0,0
0;3;3;2;2;1;4;4;0;0,0;0,0;3;4;0;0,0;0,0
0;3;3;2;3;0;8;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;3;2;4;0;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;2;4;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;2;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;3;2;4;1;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;3;2;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;3;3;1;0;4;293;0;0,0;0,0;3;293;0;0,0;0,0
0;3;3;3;1;0;8;2;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;3;1;1;4;329;0;0,0;0,0;3;329;0;0,0;0,0
0;3;3;3;1;1;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;3;3;3;2;0;4;19;0;0,0;0,0;3;19;0;0,0;0,0
0;3;3;3;2;1;4;23;0;0,0;0,0;3;23;0;0,0;0,0
0;3;3;3;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
2;3;3;0;4;1;4;206;0;0,0;0,0;3;206;0;0,0;0,0
2;3;3;0;4;1;8;23;0;0,0;0,0;3;23;0;0,0;0,0
2;3;5;0;2;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
2;3;5;0;2;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
2;3;5;0;3;0;2;4;0;0,0;0,0;3;4;0;0,0;0,0
2;3;5;0;4;1;1;1;0;0,0;0,0;3;1;0;0,0;0,0
2;3;5;0;4;1;4;54;0;0,0;0,0;3;54;0;0,0;0,0
2;3;5;0;4;1;8;1;0;0,0;0,0;3;1;0;0,0;0,0
2;3;5;1;1;0;4;7;0;0,0;0,0;3;7;0;0,0;0,0
4;3;5;1;3;0;3;2;0;0,0;0,0;3;2;0;0,0;0,0
4;3;5;1;4;0;1;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;0;1;4;1;4;4;0;0,0;0,0;3;4;0;0,0;0,0
0;0;0;3;4;0;1;5;0;0,0;0,0;3;5;0;0,0;0,0
0;0;2;0;1;0;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;2;0;1;1;1;8;0;0,0;0,0;3;8;0;0,0;0,0
0;0;2;0;1;1;4;496;0;0,0;0,0;3;496;0;0,0;0,0
0;0;2;0;2;0;1;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;2;0;4;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;2;0;2;1;1;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;2;0;2;1;4;196;0;0,0;0,0;3;196;0;0,0;0,0
0;0;2;0;3;0;2;8;0;0,0;0,0;3;8;0;0,0;0,0
0;0;2;0;3;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;0;8;2514;213;8,4725536992840098;1,0;3;2514;0;0,0;0,0
0;0;2;0;3;1;2;82;0;0,0;0,0;3;82;0;0,0;0,0
0;0;2;0;3;1;4;10;0;0,0;0,0;3;10;0;0,0;0,0
0;0;2;0;4;0;1;26;0;0,0;0,0;3;26;0;0,0;0,0
0;0;2;0;4;0;2;10;0;0,0;0,0;3;10;0;0,0;0,0
0;0;5;1;4;0;1;18;0;0,0;0,0;3;18;0;0,0;0,0
0;0;5;1;4;0;4;65;0;0,0;0,0;3;65;0;0,0;0,0
0;0;5;1;4;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;0;1;0;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;2;0;1;0;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;0;1;1;4;74;0;0,0;0,0;3;74;0;0,0;0,0
0;1;2;0;2;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;0;2;1;4;59;0;0,0;0,0;3;59;0;0,0;0,0
0;1;2;0;3;0;8;11;0;0,0;0,0;3;11;0;0,0;0,0
0;1;2;0;3;1;2;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;2;0;3;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;1;2;0;4;1;4;6;0;0,0;0,0;3;6;0;0,0;0,0
0;1;2;0;4;1;8;1;0;0,0;0,0;3;1;0;0,0;0,0
0;1;2;0;5;0;5;12;0;0,0;0,0;3;12;0;0,0;0,0
0;1;2;1;1;0;1;4;0;0,0;0,0;3;4;0;0,0;0,0
0;1;2;1;1;0;4;20;0;0,0;0,0;3;20;0;0,0;0,0
0;2;2;0;4;1;8;15576;0;0,0;0,0;3;15576;0;0,0;0,0
0;2;2;0;5;1;1;16;0;0,0;0,0;3;16;0;0,0;0,0
0;2;2;0;5;1;2;45;0;0,0;0,0;3;45;0;0,0;0,0
0;2;2;0;5;1;4;15;0;0,0;0,0;3;15;0;0,0;0,0
0;2;2;0;5;1;5;20;0;0,0;0,0;3;20;0;0,0;0,0
0;2;2;0;5;1;8;43;0;0,0;0,0;3;43;0;0,0;0,0
0;2;2;1;1;0;1;456;0;0,0;0,0;3;456;0;0,0;0,0
0;2;2;1;1;0;4;11259;1;8,8817834621191926E-3;1,0;3;11259;0;0,0;0,0
0;2;2;1;1;0;5;1;0;0,0;0,0;3;1;0;0,0;0,0
