METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;3;1;4;0;2;133;0;0,0;0,0;3;8;0;0,0;0,0
0;3;0;1;4;0;2;3;0;0,0;0,0;3;6;0;0,0;0,0
0;3;3;0;4;1;2;1;0;0,0;0,0;3;3;0;0,0;0,0
0;3;3;1;4;0;2;1023;0;0,0;0,0;3;202;0;0,0;0,0
0;2;0;1;4;1;6;6;0;0,0;0,0;3;1;0;0,0;0,0
0;2;3;1;4;0;2;27;0;0,0;0,0;3;3;0;0,0;0,0
0;3;3;1;1;0;5;2;0;0,0;0,0;3;3;0;0,0;0,0
2;2;8;0;1;1;6;2;0;0,0;0,0;0;0;0;0;0
0;3;4;0;4;1;6;4;0;0,0;0,0;0;0;0;0;0
0;0;1;0;3;1;3;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;1;1;6;1320;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;6;3123;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;1;4;1;1;0;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;4;2;1;6;176;0;0,0;0,0;0;0;0;0;0
0;1;1;1;0;0;0;4;0;0,0;0,0;0;0;0;0;0
0;3;1;1;2;1;6;3;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;6;26;0;0,0;0,0;0;0;0;0;0
0;2;0;1;4;1;5;12;0;0,0;0,0;0;0;0;0;0
0;1;1;0;1;1;6;6;0;0,0;0,0;0;0;0;0;0
0;0;8;1;3;1;5;1;0;0,0;0,0;0;0;0;0;0
2;3;7;1;4;0;2;3137;0;0,0;0,0;0;0;0;0;0
2;2;1;0;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;0;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;0;3;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;2;48;0;0,0;0,0;0;0;0;0;0
0;2;10;1;4;0;2;3;0;0,0;0,0;0;0;0;0;0
2;3;0;1;4;0;2;697;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;3;25;0;0,0;0,0;0;0;0;0;0
0;3;3;0;3;0;3;4;0;0,0;0,0;0;0;0;0;0
0;1;1;1;2;0;6;4;0;0,0;0,0;0;0;0;0;0
0;3;1;3;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;3;0;5;24;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;2;11;0;4;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;2;24;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;1;2;99;0;0,0;0,0;0;0;0;0;0
