METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;2;0;1;3;0;2;4;0;0,0;0,0;3;3087;0;0,0;0,0
0;2;0;1;4;1;6;150;0;0,0;0,0;3;150;0;0,0;0,0
0;3;3;1;4;1;2;1;0;0,0;0,0;3;39;0;0,0;0,0
0;0;3;1;4;0;2;128;0;0,0;0,0;3;7;0;0,0;0,0
0;2;0;1;4;0;3;3;0;0,0;0,0;3;7;0;0,0;0,0
0;2;0;1;4;0;6;3575;0;0,0;0,0;3;75;0;0,0;0,0
0;2;2;0;4;1;2;2;0;0,0;0,0;0;19;0;0,0;0,0
0;3;0;1;4;0;2;2;0;0,0;0,0;3;29;0;0,0;0,0
0;3;3;1;4;0;2;1305;0;0,0;0,0;3;252;0;0,0;0,0
0;2;0;1;1;1;6;2465;0;0,0;0,0;3;11;0;0,0;0,0
0;2;2;1;4;0;6;1;0;0,0;0,0;3;5888;0;0,0;0,0
0;2;3;1;4;0;2;28;0;0,0;0,0;3;23;0;0,0;0,0
0;3;2;0;4;1;2;2;0;0,0;0,0;3;7;0;0,0;0,0
0;2;2;0;4;1;2;2;0;0,0;0,0;3;181;0;0,0;0,0
0;0;3;1;1;0;5;1;0;0,0;0,0;3;2;0;0,0;0,0
0;3;3;1;1;0;5;1;0;0,0;0,0;3;31;0;0,0;0,0
0;2;0;1;2;0;6;6855;0;0,0;0,0;3;4;0;0,0;0,0
0;2;0;1;3;0;2;4;0;0,0;0,0;0;25;0;0,0;0,0
0;2;0;1;2;1;6;907;0;0,0;0,0;3;3;0;0,0;0,0
0;2;3;1;1;0;5;1;0;0,0;0,0;3;20;0;0,0;0,0
0;3;3;1;3;0;1;1;0;0,0;0,0;3;2;0;0,0;0,0
2;2;8;0;1;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;5;0;4;1;5;4;0;0,0;0,0;0;0;0;0;0
0;3;4;0;4;1;6;76;0;0,0;0,0;0;0;0;0;0
2;3;504;0;4;1;2;7;0;0,0;0,0;0;0;0;0;0
0;2;4;4;1;0;6;9;0;0,0;0,0;0;0;0;0;0
0;1;10;1;3;1;5;9;0;0,0;0,0;0;0;0;0;0
0;3;0;0;1;1;6;2;0;0,0;0,0;0;0;0;0;0
0;0;1;0;3;1;3;11;0;0,0;0,0;0;0;0;0;0
0;2;1;0;1;1;6;10131;0;0,0;0,0;0;0;0;0;0
2;2;8;0;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;6;120095;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;1;6;22;0;0,0;0,0;0;0;0;0;0
0;1;4;1;1;0;6;20;0;0,0;0,0;0;0;0;0;0
0;2;1;4;2;1;6;544;0;0,0;0,0;0;0;0;0;0
0;1;1;1;0;0;0;6;0;0,0;0,0;0;0;0;0;0
0;1;10;1;4;1;6;3;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;6;30;0;0,0;0,0;0;0;0;0;0
0;2;0;1;4;1;5;148;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;5;5;0;0,0;0,0;0;0;0;0;0
0;1;2;1;1;1;2;2;0;0,0;0,0;0;0;0;0;0
0;1;1;0;1;1;6;13;0;0,0;0,0;0;0;0;0;0
2;3;7;1;4;0;2;89;0;0,0;0,0;0;0;0;0;0
0;2;6;0;4;1;6;2;0;0,0;0,0;0;0;0;0;0
1;3;3;1;1;0;2;3;0;0,0;0,0;0;0;0;0;0
2;2;1;0;2;1;6;7;0;0,0;0,0;0;0;0;0;0
2;2;1;0;4;1;6;3;0;0,0;0,0;0;0;0;0;0
0;0;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;3;4;3;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;0;3;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;2;1582;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;1;5;1;0;0,0;0,0;0;0;0;0;0
0;2;10;1;4;0;2;1;0;0,0;0,0;0;0;0;0;0
2;3;0;1;4;0;2;1;0;0,0;0,0;0;0;0;0;0
0;3;3;0;4;0;6;2;0;0,0;0,0;0;0;0;0;0
0;2;0;0;2;0;6;1;0;0,0;0,0;0;0;0;0;0
0;1;5;0;3;1;3;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;4;810;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;3;149;0;0,0;0,0;0;0;0;0;0
0;3;3;0;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;1;1;1;2;0;6;21;0;0,0;0,0;0;0;0;0;0
0;3;1;3;4;1;6;46;0;0,0;0,0;0;0;0;0;0
0;0;10;0;1;1;2;20;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;3;0;0,0;0,0;0;0;0;0;0
0;2;0;0;2;1;2;1;0;0,0;0,0;0;0;0;0;0
0;2;3;4;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;3;1;0;3;0;3;8;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;2;1785;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;1;2;1889;0;0,0;0,0;0;0;0;0;0
0;1;1;1;4;1;6;398;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;2;183;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;6;1;0;0,0;0,0;0;0;0;0;0
0;0;4;1;2;0;6;247;0;0,0;0,0;0;0;0;0;0
0;1;5;1;1;1;6;27;0;0,0;0,0;0;0;0;0;0
0;2;1;1;2;1;2;158;0;0,0;0,0;0;0;0;0;0
0;2;0;0;0;1;6;1;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;1;3;25;0;0,0;0,0;0;0;0;0;0
0;1;10;0;1;1;2;10;0;0,0;0,0;0;0;0;0;0
0;3;1;0;4;0;6;8;0;0,0;0,0;0;0;0;0;0
0;1;3;1;2;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;0;0;4;1;6;583;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;5;128;0;0,0;0,0;0;0;0;0;0
0;2;3;4;4;1;6;24;0;0,0;0,0;0;0;0;0;0
0;3;10;0;3;1;3;17;0;0,0;0,0;0;0;0;0;0
0;3;6;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;1;1;6;1025;0;0,0;0,0;0;0;0;0;0
2;2;10;0;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;0;3;4;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;5;1;0;0,0;0,0;0;0;0;0;0
0;2;0;1;2;0;2;3;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;2;8205;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;1;3;193030;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;3;201;0;0,0;0,0;0;0;0;0;0
0;2;6;1;4;0;6;20;0;0,0;0,0;0;0;0;0;0
0;2;5;0;2;1;6;15;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;0;6;38172;0;0,0;0,0;0;0;0;0;0
0;3;501;1;3;0;5;1;1;100,0;0;0;0;0;0;0
0;2;3;1;3;0;5;140;0;0,0;0,0;0;0;0;0;0
0;3;0;0;3;1;3;29;0;0,0;0,0;0;0;0;0;0
2;0;10;0;3;1;3;6;0;0,0;0,0;0;0;0;0;0
0;3;3;1;4;1;6;3;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;0;5;13;0;0,0;0,0;0;0;0;0;0
0;2;7;0;1;1;2;3;0;0,0;0,0;0;0;0;0;0
0;3;1;1;1;1;2;10;0;0,0;0,0;0;0;0;0;0
0;3;3;4;1;0;2;1;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;1;3;407;0;0,0;0,0;0;0;0;0;0
0;0;4;1;1;1;6;1;0;0,0;0,0;0;0;0;0;0
0;3;5;0;2;1;6;402;0;0,0;0,0;0;0;0;0;0
0;2;10;0;3;0;5;4;0;0,0;0,0;0;0;0;0;0
0;3;5;0;1;1;2;47;0;0,0;0,0;0;0;0;0;0
1;1;1;0;4;1;6;76;0;0,0;0,0;0;0;0;0;0
0;3;10;1;3;0;5;727;0;0,0;0,0;0;0;0;0;0
0;0;3;1;3;0;5;1716;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;5;3;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;6;24559;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;3;2;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;6;11;0;0,0;0,0;0;0;0;0;0
0;3;1;1;4;1;6;48;0;0,0;0,0;0;0;0;0;0
0;3;1;1;3;1;3;6;0;0,0;0,0;0;0;0;0;0
0;0;1;1;4;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;0;4;2;0;6;4;0;0,0;0,0;0;0;0;0;0
0;2;1;0;0;1;0;82;0;0,0;0,0;0;0;0;0;0
2;2;8;0;4;1;5;6;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;5;1097;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;0;4;4;0;6;10;0;0,0;0,0;0;0;0;0;0
1;3;3;1;0;0;3;1;0;0,0;0,0;0;0;0;0;0
