METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;1;0;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;0;1;1;3;1;5;6;0;0,0;0,0;0;0;0;0;0
0;0;3;4;4;0;6;6;0;0,0;0,0;0;0;0;0;0
0;0;5;1;3;0;5;8;0;0,0;0,0;0;0;0;0;0
0;0;7;1;3;0;5;15;15;100,0;0;0;0;0;0;0
0;0;7;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;0;5;5;0;0,0;0,0;0;0;0;0;0
0;1;1;1;4;1;6;458;0;0,0;0,0;0;0;0;0;0
0;1;10;0;2;1;2;9;0;0,0;0,0;0;0;0;0;0
0;1;10;0;3;1;3;50;0;0,0;0,0;0;0;0;0;0
0;1;10;0;3;1;6;9;0;0,0;0,0;0;0;0;0;0
0;1;11;0;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;1;11;1;4;1;6;4;0;0,0;0,0;0;0;0;0;0
0;1;5;1;2;1;2;2;0;0,0;0,0;0;0;0;0;0
0;1;7;1;4;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;0;0;2;1;6;204;0;0,0;0,0;0;0;0;0;0
0;2;0;1;2;0;6;1629;0;0,0;0,0;0;0;0;0;0
0;2;0;4;4;0;2;2;0;0,0;0,0;0;0;0;0;0
0;2;0;4;4;0;5;8;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;0;6;486;0;0,0;0,0;0;0;0;0;0
0;2;1;0;3;1;1;67;0;0,0;0,0;0;0;0;0;0
0;2;1;1;0;1;3;643;0;0,0;0,0;0;0;0;0;0
0;2;1;1;2;1;2;62;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;0;1;4;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;1;3;4888;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;1;6;36;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;0;4;33;0;0,0;0,0;0;0;0;0;0
0;2;10;0;4;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;2;31;0;0,0;0,0;3;13;0;0,0;0,0
0;2;3;4;4;0;5;2;0;0,0;0,0;0;0;0;0;0
0;2;4;4;2;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;6;1;3;0;5;4;0;0,0;0,0;0;0;0;0;0
0;2;7;0;3;1;3;1;0;0,0;0,0;0;0;0;0;0
0;2;7;1;3;0;3;14;14;100,0;0;0;0;0;0;0
0;3;0;0;0;1;3;2;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;2;62;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;5;5;0;0,0;0,0;0;0;0;0;0
0;3;1;1;1;0;2;9;0;0,0;0,0;0;0;0;0;0
0;3;1;1;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;3;1;1;3;1;5;5;0;0,0;0,0;0;0;0;0;0
0;3;10;0;1;1;6;11;0;0,0;0,0;0;0;0;0;0
0;3;10;0;4;0;2;3;0;0,0;0,0;0;0;0;0;0
0;3;10;1;1;0;6;279;0;0,0;0,0;0;0;0;0;0
0;3;11;1;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;3;2;0;4;1;2;6;0;0,0;0,0;3;98;0;0,0;0,0
0;3;3;0;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;3;3;1;0;0;0;23;0;0,0;0,0;0;0;0;0;0
0;3;3;1;0;0;6;21;0;0,0;0,0;0;0;0;0;0
0;3;3;4;4;0;6;20;0;0,0;0,0;0;0;0;0;0
0;3;5;0;2;1;6;1584;0;0,0;0,0;0;0;0;0;0
0;3;7;0;2;1;6;15;0;0,0;0,0;0;0;0;0;0
0;3;7;1;3;0;5;23;18;78,260869565217391;1,0;0;0;0;0;0
1;1;0;0;4;1;6;2;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
1;3;3;1;2;0;6;1;0;0,0;0,0;0;0;0;0;0
2;2;1;0;1;1;2;3;0;0,0;0,0;0;0;0;0;0
2;3;0;0;4;1;2;2;0;0,0;0,0;0;0;0;0;0
2;3;0;0;4;1;5;10;0;0,0;0,0;0;0;0;0;0
2;3;1;0;1;1;6;4827;2269;47,006422208411017;1,0;0;0;0;0;0
2;3;1;0;4;0;5;1;0;0,0;0,0;0;0;0;0;0
0;0;1;0;3;1;3;66;0;0,0;0,0;0;0;0;0;0
0;0;3;1;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;0;3;4;4;1;6;5;0;0,0;0,0;0;0;0;0;0
0;0;4;4;0;1;0;1;0;0,0;0,0;0;0;0;0;0
0;1;0;1;4;1;2;2;0;0,0;0,0;0;0;0;0;0
0;1;1;0;0;0;0;9;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;2;3;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;5;3;0;0,0;0,0;0;0;0;0;0
0;1;1;1;4;0;2;242;4;1,6528925619834711;1,0;0;0;0;0;0
0;1;1;1;4;0;5;644;0;0,0;0,0;0;0;0;0;0
0;1;10;0;1;1;2;14;0;0,0;0,0;0;0;0;0;0
0;1;11;1;3;1;3;1;0;0,0;0,0;0;0;0;0;0
0;1;2;1;3;0;5;4;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;3;2;0;0,0;0,0;0;0;0;0;0
0;1;5;0;2;1;6;4;0;0,0;0,0;0;0;0;0;0
0;1;5;1;2;0;6;70;0;0,0;0,0;0;0;0;0;0
