METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;2;3;1;4;0;2;24;0;0,0;0,0;3;5;0;0,0;0,0
0;3;2;0;4;1;2;1;0;0,0;0,0;3;3;0;0,0;0,0
0;0;3;1;4;0;2;120;0;0,0;0,0;3;10;0;0,0;0,0
0;3;0;1;4;0;2;2;0;0,0;0,0;3;8;0;0,0;0,0
0;3;3;0;4;1;2;1;0;0,0;0,0;3;9;0;0,0;0,0
0;3;3;1;4;0;2;1055;0;0,0;0,0;3;223;0;0,0;0,0
0;2;2;0;4;1;2;1;0;0,0;0,0;3;33;0;0,0;0,0
0;2;0;1;4;0;4;2;0;0,0;0,0;3;431;0;0,0;0,0
0;3;3;1;1;0;5;2;0;0,0;0,0;3;7;0;0,0;0,0
0;0;3;1;3;0;2;1;0;0,0;0,0;3;22;0;0,0;0,0
0;3;3;1;3;0;2;1;0;0,0;0,0;0;1;0;0,0;0,0
0;3;3;1;3;0;2;1;0;0,0;0,0;3;876;0;0,0;0,0
0;3;3;1;4;1;2;1;0;0,0;0,0;3;7;0;0,0;0,0
2;2;8;0;1;1;6;3;0;0,0;0,0;0;0;0;0;0
0;3;4;0;4;1;6;8;0;0,0;0,0;0;0;0;0;0
0;1;4;1;3;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;4;4;1;0;6;1;0;0,0;0,0;0;0;0;0;0
0;3;0;0;1;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;1;1;6;1506;0;0,0;0,0;0;0;0;0;0
2;2;8;0;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;4;1;6;2721;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;2;1;6;152;0;0,0;0,0;0;0;0;0;0
0;2;3;0;4;1;6;1;0;0,0;0,0;0;0;0;0;0
0;1;1;1;0;0;0;5;0;0,0;0,0;0;0;0;0;0
0;3;10;0;3;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;3;1;4;0;6;34;0;0,0;0,0;0;0;0;0;0
0;2;0;1;4;1;5;13;0;0,0;0,0;0;0;0;0;0
0;1;3;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;2;0;1;2;0;7;4;0;0,0;0,0;0;0;0;0;0
0;1;1;0;1;1;6;6;0;0,0;0,0;0;0;0;0;0
2;3;7;1;4;0;2;870;0;0,0;0,0;0;0;0;0;0
1;3;3;1;1;0;2;3;0;0,0;0,0;0;0;0;0;0
2;2;1;0;2;1;6;5;0;0,0;0,0;0;0;0;0;0
0;0;4;1;3;0;5;1;0;0,0;0,0;0;0;0;0;0
0;3;7;0;2;1;6;2;0;0,0;0,0;0;0;0;0;0
0;0;3;1;2;0;2;1;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;1;2;106;0;0,0;0,0;0;0;0;0;0
2;3;0;1;4;0;2;19;0;0,0;0,0;0;0;0;0;0
0;2;10;1;4;0;2;2;0;0,0;0,0;0;0;0;0;0
0;0;10;1;3;0;3;2;0;0,0;0,0;0;0;0;0;0
0;2;0;1;0;0;3;1;0;0,0;0,0;0;0;0;0;0
0;1;7;1;4;1;6;1;1;100,0;0;0;0;0;0;0
0;1;1;1;2;0;6;7;0;0,0;0,0;0;0;0;0;0
0;3;1;3;4;1;6;5;0;0,0;0,0;0;0;0;0;0
1;1;10;1;3;0;5;2;0;0,0;0,0;0;0;0;0;0
0;3;1;0;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;2;38;0;0,0;0,0;0;0;0;0;0
2;3;1;0;4;1;2;263;2;0,76045627376425851;1,0;0;0;0;0;0
0;1;1;1;4;1;6;41;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;2;9;0;0,0;0,0;0;0;0;0;0
0;2;0;1;1;1;6;195;0;0,0;0,0;0;0;0;0;0
0;0;4;1;2;0;6;133;0;0,0;0,0;0;0;0;0;0
0;1;5;1;1;1;6;3;0;0,0;0,0;0;0;0;0;0
0;2;1;1;2;1;2;6;0;0,0;0,0;0;0;0;0;0
0;1;1;1;3;1;3;6;0;0,0;0,0;0;0;0;0;0
0;3;1;0;4;0;6;1;0;0,0;0,0;0;0;0;0;0
0;2;0;0;4;1;6;61;0;0,0;0,0;0;0;0;0;0
0;2;1;4;1;1;6;61;0;0,0;0,0;0;0;0;0;0
2;2;10;0;2;1;6;1;0;0,0;0,0;0;0;0;0;0
0;1;1;0;4;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;2;638;0;0,0;0,0;0;0;0;0;0
0;2;1;1;3;1;3;1987;0;0,0;0,0;0;0;0;0;0
0;2;5;0;2;1;6;8;0;0,0;0,0;0;0;0;0;0
0;3;3;1;3;0;3;42;0;0,0;0,0;0;0;0;0;0
0;2;1;1;1;0;6;2600;0;0,0;0,0;0;0;0;0;0
0;3;501;1;3;0;5;3;3;100,0;0;0;0;0;0;0
0;2;3;1;3;0;5;97;0;0,0;0,0;0;0;0;0;0
0;3;0;0;3;1;3;4;0;0,0;0,0;0;0;0;0;0
1;0;11;1;3;0;5;2;0;0,0;0,0;0;0;0;0;0
0;0;10;0;2;1;6;8;0;0,0;0,0;0;0;0;0;0
0;3;3;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;1;5;1;4;0;5;1;0;0,0;0,0;0;0;0;0;0
0;3;1;1;1;1;2;4;0;0,0;0,0;0;0;0;0;0
0;3;5;0;3;1;3;13;0;0,0;0,0;0;0;0;0;0
0;3;5;0;2;1;6;84;0;0,0;0,0;0;0;0;0;0
0;2;10;0;3;0;5;46;0;0,0;0,0;0;0;0;0;0
1;1;1;0;4;1;6;33;0;0,0;0,0;0;0;0;0;0
0;3;10;1;3;0;5;346;0;0,0;0,0;0;0;0;0;0
0;0;3;1;3;0;5;1580;0;0,0;0,0;0;0;0;0;0
0;3;1;0;1;1;5;2;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;6;5660;0;0,0;0,0;0;0;0;0;0
0;3;1;1;4;1;6;10;0;0,0;0,0;0;0;0;0;0
0;3;1;1;3;1;3;3;0;0,0;0,0;0;0;0;0;0
0;0;1;1;4;0;2;5;0;0,0;0,0;0;0;0;0;0
0;1;5;0;3;1;6;1;0;0,0;0,0;0;0;0;0;0
0;2;1;0;0;1;0;8;0;0,0;0,0;0;0;0;0;0
0;1;2;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
0;2;1;0;4;0;5;45;0;0,0;0,0;0;0;0;0;0
0;2;1;4;4;0;5;174;0;0,0;0,0;0;0;0;0;0
0;2;1;0;2;1;3;2;0;0,0;0,0;0;0;0;0;0
0;2;3;4;3;0;3;1;0;0,0;0,0;0;0;0;0;0
0;3;10;1;4;1;6;2;0;0,0;0,0;0;0;0;0;0
