METODO;URI;STATUS;URL;USERAGENT;COOKIE;BROWSER;QSTATUS;SSTATUS;MSTATUS;LSTATUS;ACAO;QREGRA;SREGRA;MREGRA;LREGRA
0;0;0;1;2;0;4;5;0;0,0;0,0;3;5;0;0,0;0,0
0;0;0;1;2;1;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;0;0;1;3;0;5;131;30;22,900763358778626;1,0;0;3;0;0,0;0,0
0;0;0;1;3;0;5;131;30;22,900763358778626;1,0;3;128;0;0,0;0,0
0;0;2;0;1;1;4;25;0;0,0;0,0;3;25;0;0,0;0,0
0;0;2;0;3;0;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;0;5;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;2;0;3;1;2;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;3;1;5;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;4;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;0;2;0;4;1;4;69;0;0,0;0,0;3;69;0;0,0;0,0
0;0;2;1;2;0;4;6;0;0,0;0,0;3;6;0;0,0;0,0
0;0;2;1;2;1;4;2;0;0,0;0,0;3;2;0;0,0;0,0
0;0;2;1;3;0;5;1717;43;2,5043680838672104;1,0;0;96;0;0,0;0,0
0;0;2;1;3;0;5;1717;43;2,5043680838672104;1,0;3;1621;0;0,0;0,0
0;0;2;1;4;0;4;3;0;0,0;0,0;3;3;0;0,0;0,0
0;2;0;1;4;0;4;95;0;0,0;0,0;3;95;0;0,0;0,0
0;2;0;1;4;0;5;44;0;0,0;0,0;3;44;0;0,0;0,0
0;2;0;1;4;1;5;7;0;0,0;0,0;3;7;0;0,0;0,0
0;2;0;1;5;0;1;5;0;0,0;0,0;3;5;0;0,0;0,0
0;2;0;1;5;0;2;5;0;0,0;0,0;3;5;0;0,0;0,0
0;2;0;1;5;1;2;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;0;3;1;1;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;2;0;1;0;1;128;0;0,0;0,0;3;128;0;0,0;0,0
0;2;2;0;1;0;4;150;0;0,0;0,0;3;150;0;0,0;0,0
0;2;2;0;1;1;1;5314;0;0,0;0,0;3;5314;0;0,0;0,0
0;2;2;0;1;1;4;24589;0;0,0;0,0;3;24589;0;0,0;0,0
0;2;2;0;1;1;5;78;0;0,0;0,0;3;78;0;0,0;0,0
0;2;2;0;2;0;1;32;0;0,0;0,0;3;32;0;0,0;0,0
0;2;2;0;2;0;4;458;0;0,0;0,0;3;458;0;0,0;0,0
0;2;2;0;2;1;1;2205;0;0,0;0,0;3;2205;0;0,0;0,0
0;2;2;0;2;1;2;7;0;0,0;0,0;3;7;0;0,0;0,0
0;2;5;0;4;1;5;5;0;0,0;0,0;3;5;0;0,0;0,0
0;2;5;1;1;0;4;6;0;0,0;0,0;3;6;0;0,0;0,0
0;2;5;1;1;1;4;1;1;100,0;1,0;3;1;0;0,0;0,0
0;2;5;1;3;0;5;76;0;0,0;0,0;3;76;0;0,0;0,0
0;2;5;1;4;0;1;2;0;0,0;0,0;3;2;0;0,0;0,0
0;2;5;1;4;0;4;1;0;0,0;0,0;3;1;0;0,0;0,0
0;2;5;1;4;0;5;9;0;0,0;0,0;3;9;0;0,0;0,0
